absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,relative_velocity,miss_distance,hazardous
10.41,22006.7027114738,49208.4832234845,5.5786191875,0.3149291693,False
10.41,22006.7027114738,49208.4832234845,4.3944908885,0.4714855425,False
10.41,22006.7027114738,49208.4832234845,4.8167840184,0.499257206,False
10.41,22006.7027114738,49208.4832234845,4.5960548855,0.3597864889,False
10.41,22006.7027114738,49208.4832234845,5.9208185341,0.1740731458,False
10.41,22006.7027114738,49208.4832234845,6.0840524046,0.2150052405,False
10.41,22006.7027114738,49208.4832234845,3.626098636,0.4030090561,False
10.41,22006.7027114738,49208.4832234845,3.7078364482,0.4424921301,False
10.41,22006.7027114738,49208.4832234845,6.0668849725,0.2662714057,False
10.41,22006.7027114738,49208.4832234845,5.8253076833,0.1511341909,False
10.41,22006.7027114738,49208.4832234845,5.6652718459,0.3084893271,False
10.41,22006.7027114738,49208.4832234845,4.305902138,0.4676402077,False
10.41,22006.7027114738,49208.4832234845,4.4122923953,0.3655672222,False
10.41,22006.7027114738,49208.4832234845,5.9451959021,0.1786758136,False
10.41,22006.7027114738,49208.4832234845,6.0449176185,0.2085986871,False
10.41,22006.7027114738,49208.4832234845,3.7288508677,0.3976474744,False
10.41,22006.7027114738,49208.4832234845,3.7252247205,0.4461417254,False
10.41,22006.7027114738,49208.4832234845,6.0590645856,0.2725553389,False
10.41,22006.7027114738,49208.4832234845,5.8207578574,0.1497821765,False
10.41,22006.7027114738,49208.4832234845,5.7322434825,0.3029535232,False
10.41,22006.7027114738,49208.4832234845,4.2454176851,0.4647282185,False
10.41,22006.7027114738,49208.4832234845,4.2258643769,0.3713100271,False
10.41,22006.7027114738,49208.4832234845,5.9749136221,0.1824638842,False
10.41,22006.7027114738,49208.4832234845,6.0149196633,0.2038791175,False
10.41,22006.7027114738,49208.4832234845,3.8530305141,0.3922912542,False
10.41,22006.7027114738,49208.4832234845,3.7537243254,0.4497028378,False
10.41,22006.7027114738,49208.4832234845,6.0381849282,0.2781645724,False
10.41,22006.7027114738,49208.4832234845,5.8142759703,0.1494623094,False
10.41,22006.7027114738,49208.4832234845,5.7943538473,0.296580393,False
10.41,22006.7027114738,49208.4832234845,4.1745035914,0.4609447583,False
10.41,22006.7027114738,49208.4832234845,4.026253601,0.3774337428,False
10.41,22006.7027114738,49208.4832234845,6.0055431713,0.1884002692,False
10.41,22006.7027114738,49208.4832234845,5.9898389294,0.1980108125,False
10.41,22006.7027114738,49208.4832234845,3.9833820614,0.3873137309,False
15.59,2025.6060086475,4529.3927309679,3.4460290151,1.7087741683,False
15.59,2025.6060086475,4529.3927309679,7.1848430308,0.2054817435,False
15.59,2025.6060086475,4529.3927309679,7.3096055098,0.2056683545,False
15.59,2025.6060086475,4529.3927309679,3.2634606265,1.4171297569,False
15.59,2025.6060086475,4529.3927309679,7.6655658653,0.3147502333,False
15.59,2025.6060086475,4529.3927309679,7.6532216086,0.2846489809,False
15.59,2025.6060086475,4529.3927309679,3.7241284848,1.4865987524,False
15.59,2025.6060086475,4529.3927309679,13.0394477911,0.4256632516,False
15.59,2025.6060086475,4529.3927309679,5.0048427673,1.9591584297,False
15.59,2025.6060086475,4529.3927309679,3.4163448465,1.563825951,False
15.59,2025.6060086475,4529.3927309679,7.5222545496,0.2134595996,False
15.59,2025.6060086475,4529.3927309679,7.8186889132,0.2568612457,False
15.59,2025.6060086475,4529.3927309679,3.4670013619,1.3899546635,False
15.59,2025.6060086475,4529.3927309679,8.6062205832,0.367762384,False
15.59,2025.6060086475,4529.3927309679,4.2458309082,1.6444271204,False
15.59,2025.6060086475,4529.3927309679,3.752796571,1.8228425235,False
15.59,2025.6060086475,4529.3927309679,8.3173750452,0.2200717468,False
13.88,4451.9981644783,9954.9705314777,6.8047888406,0.3205426946,False
13.88,4451.9981644783,9954.9705314777,6.1066272577,0.211315815,False
13.88,4451.9981644783,9954.9705314777,6.5135754194,0.2162417102,False
13.88,4451.9981644783,9954.9705314777,8.1524064419,0.3248545068,False
13.88,4451.9981644783,9954.9705314777,10.7038538763,0.4435387911,False
13.88,4451.9981644783,9954.9705314777,12.8240920609,0.3793019906,False
13.88,4451.9981644783,9954.9705314777,8.8414145662,0.2285970637,False
13.88,4451.9981644783,9954.9705314777,7.0959743392,0.1367787277,False
13.88,4451.9981644783,9954.9705314777,11.6621980775,0.3379659206,False
13.88,4451.9981644783,9954.9705314777,8.2486989913,0.0821976887,False
13.88,4451.9981644783,9954.9705314777,14.6558292871,0.281743532,False
13.88,4451.9981644783,9954.9705314777,11.2689470236,0.1663250159,False
13.88,4451.9981644783,9954.9705314777,13.0225431569,0.2584036974,False
13.88,4451.9981644783,9954.9705314777,15.3029896614,0.3646681105,False
9.26,37372.7431913731,83567.9942815527,6.3038666347,1.9562566454,False
9.26,37372.7431913731,83567.9942815527,17.0936980471,0.381362764,False
9.26,37372.7431913731,83567.9942815527,19.3628682208,0.4962746065,False
9.26,37372.7431913731,83567.9942815527,13.6399767933,0.4642629335,False
9.26,37372.7431913731,83567.9942815527,14.3047014983,0.3591042359,False
9.26,37372.7431913731,83567.9942815527,16.3343731636,0.3740970818,False
9.26,37372.7431913731,83567.9942815527,18.6810528638,0.4661875139,False
9.26,37372.7431913731,83567.9942815527,6.6728717597,1.9576239663,False
9.26,37372.7431913731,83567.9942815527,14.9802975601,0.0956589038,False
9.26,37372.7431913731,83567.9942815527,6.2203932992,1.9597704642,False
9.26,37372.7431913731,83567.9942815527,14.471634734,0.3763479028,False
9.26,37372.7431913731,83567.9942815527,15.0172032293,0.3591572938,False
9.26,37372.7431913731,83567.9942815527,16.9054594842,0.4125983494,False
9.26,37372.7431913731,83567.9942815527,15.7498558756,0.0286836493,False
17.37,892.3905786578,1995.4459963592,13.2693801372,0.2850489339,False
17.37,892.3905786578,1995.4459963592,10.770146893,0.1839109328,False
17.37,892.3905786578,1995.4459963592,9.5575171387,0.1354294307,False
17.37,892.3905786578,1995.4459963592,8.8556266599,0.1162239375,False
17.37,892.3905786578,1995.4459963592,8.3949324676,0.1078284938,False
17.37,892.3905786578,1995.4459963592,8.3684255756,0.105276978,False
17.37,892.3905786578,1995.4459963592,8.5747644312,0.1098615221,False
17.37,892.3905786578,1995.4459963592,8.7184154318,0.1148122237,False
17.37,892.3905786578,1995.4459963592,9.3128718991,0.1281807597,False
17.37,892.3905786578,1995.4459963592,11.0809543303,0.1954117516,False
17.37,892.3905786578,1995.4459963592,13.1912995864,0.2801661327,False
17.37,892.3905786578,1995.4459963592,15.6005965509,0.3680126648,False
17.37,892.3905786578,1995.4459963592,16.5038501233,0.4969990995,False
17.37,892.3905786578,1995.4459963592,12.3264976013,0.3686881158,False
17.37,892.3905786578,1995.4459963592,9.078481039,0.2566701915,False
17.37,892.3905786578,1995.4459963592,7.900199433,0.1974871195,False
17.37,892.3905786578,1995.4459963592,7.5647837063,0.1405275808,False
17.37,892.3905786578,1995.4459963592,7.8502266721,0.1139766127,False
17.37,892.3905786578,1995.4459963592,7.8270908499,0.1153447536,False
17.37,892.3905786578,1995.4459963592,7.974653063,0.1109500575,False
17.37,892.3905786578,1995.4459963592,8.2590404314,0.1082990149,False
17.37,892.3905786578,1995.4459963592,8.1154786747,0.1108819285,False
17.37,892.3905786578,1995.4459963592,8.2318375006,0.1091826453,False
17.37,892.3905786578,1995.4459963592,8.7801227103,0.1146554598,False
17.37,892.3905786578,1995.4459963592,9.3009283476,0.1314775673,False
17.37,892.3905786578,1995.4459963592,10.4839876065,0.1697994252,False
17.37,892.3905786578,1995.4459963592,12.9548490682,0.2609668064,False
17.37,892.3905786578,1995.4459963592,15.7320665777,0.3703535166,False
17.37,892.3905786578,1995.4459963592,18.6423605965,0.4776963365,False
16.59,1278.0709881794,2857.8536096394,27.0080861823,0.0844832345,True
16.59,1278.0709881794,2857.8536096394,25.1519915216,0.3860574275,True
16.59,1278.0709881794,2857.8536096394,21.4737579719,0.3361855057,True
16.59,1278.0709881794,2857.8536096394,38.333305635,0.3070516113,True
16.59,1278.0709881794,2857.8536096394,42.8973935929,0.0993891658,True
16.59,1278.0709881794,2857.8536096394,33.2679755467,0.4038605198,True
16.59,1278.0709881794,2857.8536096394,30.2012829642,0.0572520831,True
16.59,1278.0709881794,2857.8536096394,21.90535342,0.4358995246,True
16.59,1278.0709881794,2857.8536096394,30.4454252187,0.1332015124,True
16.59,1278.0709881794,2857.8536096394,23.5673811067,0.2200470475,True
16.59,1278.0709881794,2857.8536096394,42.2781197935,0.4233029291,True
16.59,1278.0709881794,2857.8536096394,29.3930519714,0.372026803,True
16.59,1278.0709881794,2857.8536096394,20.264778666,0.4583250511,True
16.59,1278.0709881794,2857.8536096394,24.5293323217,0.07192793,True
