"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2025 WT3)","2025-Dec-22 01:25 ± < 00:01","0.04088","0.04086","4.52","4.51","25.7","19 m -   43 m","0"
"(2025 XT7)","2025-Dec-22 10:45 ± < 00:01","0.02636","0.02611","7.58","7.57","27.1","10 m -   23 m","0"
"(2025 YH3)","2025-Dec-22 12:44 ± < 00:01","0.00305","0.00305","10.11","10.02","27.7","7.6 m -   17 m","0"
"(2025 YU)","2025-Dec-22 15:40 ± < 00:01","0.03861","0.03842","8.80","8.79","25.8","18 m -   41 m","0"
"(2025 YC3)","2025-Dec-22 16:14 ± < 00:01","0.02475","0.02448","12.28","12.27","23.1","63 m -  140 m","1"
"(2025 YY)","2025-Dec-23 06:49 ±    00:06","0.00658","0.00655","11.87","11.84","25.5","21 m -   47 m","1"
"(2025 YJ3)","2025-Dec-23 08:16 ± < 00:01","0.02661","0.02643","17.57","17.56","22.8","74 m -  170 m","1"
"(2025 YR2)","2025-Dec-23 11:16 ± < 00:01","0.04976","0.04952","7.76","7.75","25.6","20 m -   46 m","0"
"(2025 YZ2)","2025-Dec-24 23:00 ±    00:10","0.02205","0.02162","10.72","10.71","26.0","17 m -   37 m","0"
"(2025 XN5)","2025-Dec-25 07:04 ± < 00:01","0.02893","0.02882","15.49","15.48","24.3","37 m -   83 m","0"
"(2025 XP3)","2025-Dec-26 01:59 ± < 00:01","0.03417","0.03402","13.50","13.50","24.1","41 m -   91 m","0"
"(2025 XJ4)","2025-Dec-27 15:24 ± < 00:01","0.03686","0.03667","6.70","6.69","24.9","28 m -   62 m","0"
"(2025 YJ)","2025-Dec-28 00:40 ±    00:01","0.04788","0.04754","7.38","7.37","26.3","14 m -   32 m","0"
"(2021 AB1)","2025-Dec-28 09:25 ± 2_10:41","0.02610","0.01229","12.27","12.26","26.7","12 m -   27 m","0"
"(2019 AU)","2025-Dec-30 15:25 ±    23:15","0.04945","0.04353","2.84","2.82","26.7","12 m -   27 m","0"
"(2024 AV2)","2025-Dec-30 22:03 ± < 00:01","0.04586","0.04586","7.04","7.04","26.6","12 m -   28 m","0"
"(2025 XC7)","2026-Jan-01 23:41 ±    00:02","0.02287","0.02278","6.57","6.56","25.5","21 m -   48 m","0"
"(2025 YZ)","2026-Jan-02 05:29 ±    00:08","0.03619","0.03588","6.67","6.66","25.4","22 m -   50 m","0"
"(2025 YT2)","2026-Jan-02 19:02 ±    00:14","0.03813","0.03627","5.53","5.52","27.7","7.6 m -   17 m","0"
"(2025 YF3)","2026-Jan-03 01:05 ±    00:37","0.03948","0.03889","6.96","6.95","24.9","28 m -   62 m","0"
"(2014 AF16)","2026-Jan-04 06:37 ±    21:45","0.02298","0.01729","9.57","9.56","25.1","25 m -   57 m","0"
"(2025 YV1)","2026-Jan-05 15:47 ±    01:59","0.03024","0.02876","16.40","16.40","24.2","39 m -   87 m","0"
"(2025 XS4)","2026-Jan-06 02:16 ±    00:06","0.02041","0.02032","6.49","6.47","25.8","18 m -   41 m","0"
"(2023 XM15)","2026-Jan-07 03:12 ± 3_03:03","0.03890","0.02184","6.89","6.88","24.2","38 m -   86 m","0"
"(2025 YL)","2026-Jan-12 14:14 ±    11:28","0.01975","0.01912","3.87","3.83","27.2","9.9 m -   22 m","0"
"(2022 GR3)","2026-Jan-12 20:48 ± 6_11:06","0.03712","0.00496","12.85","12.85","27.9","7.0 m -   16 m","0"
"(2025 XN1)","2026-Jan-14 06:46 ±    00:10","0.02370","0.02362","4.73","4.71","25.0","27 m -   60 m","0"
"(2022 OB5)","2026-Jan-14 07:21 ± < 00:01","0.00431","0.00431","2.19","1.89","29.0","4.3 m -  9.6 m","0"
"(2025 BL)","2026-Jan-17 07:14 ±    01:31","0.01198","0.01072","6.90","6.87","25.5","21 m -   47 m","0"
"(2004 MO3)","2026-Jan-17 12:03 ± < 00:01","0.04343","0.04343","10.23","10.22","22.2","97 m -  220 m","1"
"(2019 LZ4)","2026-Jan-23 18:46 ± 1_20:41","0.03630","0.02686","11.61","11.61","24.5","33 m -   75 m","0"
"(2025 YR1)","2026-Jan-27 13:39 ±    21:20","0.04981","0.04844","4.13","4.11","25.4","22 m -   49 m","0"
"(2022 AG)","2026-Jan-29 08:51 ±    02:43","0.03515","0.03385","5.29","5.28","25.1","25 m -   56 m","0"
"(2020 GE)","2026-Jan-29 20:25 ±    00:19","0.04159","0.04158","1.22","1.17","28.2","6.2 m -   14 m","0"
"(2023 RX1)","2026-Jan-31 01:22 ±    08:11","0.02252","0.02246","1.23","1.13","30.3","2.4 m -  5.3 m","0"
"(2022 OC3)","2026-Jan-31 23:41 ±    01:49","0.00334","0.00331","3.78","3.57","28.4","5.6 m -   13 m","0"
"(2021 CZ5)","2026-Feb-09 03:37 ± 1_18:14","0.04686","0.04333","9.28","9.27","25.9","18 m -   39 m","0"
"(2025 CC)","2026-Feb-09 06:22 ±    06:29","0.04503","0.04477","5.06","5.05","27.6","8.1 m -   18 m","0"
"(2022 DV)","2026-Feb-12 23:08 ± 3_01:15","0.03949","0.02607","5.00","4.99","26.5","13 m -   29 m","0"
"(1999 AO10)","2026-Feb-13 05:59 ± 4_15:18","0.02681","0.02681","2.69","2.65","23.9","44 m -   99 m","0"
"162882 (2001 FD58)","2026-Feb-14 14:11 ± < 00:01","0.04344","0.04344","19.16","19.16","18.8","470 m -  1.0 km","2"
